Time,Iteration,Cost,Parameters
Sat Aug 24 21:52:23 2024,128,0.20713535539237138,[-1.55610483  2.143542   -2.10124329 -0.03076371  0.44750472 -2.66969898
  3.02072537  2.13636607  1.0222749  -0.97355628]
Sat Aug 24 21:54:08 2024,129,0.20630126266304322,[-1.55478709  2.14222425 -2.09992555 -0.02944596  0.44618697 -2.67101672
  3.01940763  2.13768382  1.02359265 -0.97223854]
Sat Aug 24 21:55:54 2024,130,0.20574339460634852,[-1.55319752  2.14381381 -2.09833598 -0.0278564   0.44459741 -2.66942716
  3.01781806  2.13927338  1.02518221 -0.97064897]
Sat Aug 24 21:57:38 2024,131,0.20643613692624624,[-1.55353875  2.14347259 -2.09867721 -0.02751517  0.44425618 -2.66908593
  3.01747683  2.13893216  1.02552344 -0.9709902 ]
Sat Aug 24 21:59:22 2024,132,0.20887166564212786,[-1.55259015  2.14442119 -2.09772861 -0.02846377  0.44520478 -2.66813733
  3.01842544  2.13988076  1.02457484 -0.9700416 ]
Sat Aug 24 22:01:06 2024,133,0.210712523079657,[-1.55147973  2.14331077 -2.09661819 -0.02957419  0.4463152  -2.66702691
  3.01731502  2.14099118  1.02568526 -0.96893118]
Sat Aug 24 22:02:50 2024,134,0.2095468706221909,[-1.55148427  2.14331531 -2.09661365 -0.02957873  0.44631066 -2.66702237
  3.01731956  2.14099572  1.0256898  -0.96892664]
Sat Aug 24 22:04:34 2024,135,0.2057934598928204,[-1.54995346  2.14484612 -2.09814446 -0.03110954  0.44784147 -2.66549156
  3.01885037  2.13946491  1.0272206  -0.96739583]
Sat Aug 24 22:06:18 2024,136,0.21203696382968387,[-1.54981612  2.14470878 -2.09800712 -0.03124687  0.44770413 -2.6656289
  3.01871303  2.13932757  1.02735794 -0.9672585 ]
Sat Aug 24 22:08:02 2024,137,0.21128917464018668,[-1.54922345  2.14411611 -2.0985998  -0.03183954  0.44711146 -2.66503622
  3.01930571  2.1387349   1.02795061 -0.96666582]
Sat Aug 24 22:09:46 2024,138,0.20896191009746792,[-1.54882224  2.14451732 -2.09900101 -0.03224075  0.44751267 -2.66543743
  3.01970691  2.13913611  1.02754941 -0.96626461]
Sat Aug 24 22:11:30 2024,139,0.20649971377723583,[-1.54768792  2.14565164 -2.10013532 -0.03337507  0.44637835 -2.66657175
  3.02084123  2.13800179  1.02868373 -0.9651303 ]
Sat Aug 24 22:13:14 2024,140,0.20505363351350167,[-1.54599114  2.14395486 -2.1018321  -0.03507185  0.44468157 -2.66487497
  3.02253801  2.13630501  1.0303805  -0.96343352]
Sat Aug 24 22:14:58 2024,141,0.2078827938534334,[-1.54592396  2.14388767 -2.10189929 -0.03513904  0.44461438 -2.66480778
  3.0226052   2.13623782  1.03044769 -0.96336633]
Sat Aug 24 22:16:42 2024,142,0.20329471073892694,[-1.54511174  2.14469989 -2.10108707 -0.03432682  0.4454266  -2.66399556
