Time,Iteration,Cost,Parameters
Sun Aug 25 00:46:36 2024,156,0.15820421304821092,[-1.43079534  2.36402342 -2.15432772 -0.15062821  0.53072356]
Sun Aug 25 00:47:33 2024,157,0.16293836765704445,[-1.43062996  2.3641888  -2.1544931  -0.15079359  0.53088893]
Sun Aug 25 00:48:29 2024,158,0.1617631148995739,[-1.42895076  2.3625096  -2.1561723  -0.15247279  0.52920973]
Sun Aug 25 00:49:26 2024,159,0.1638233003789173,[-1.42941322  2.36297205 -2.15663476 -0.15201033  0.52874727]
Sun Aug 25 00:50:23 2024,160,0.15932710926360075,[-1.42866318  2.36222201 -2.15588472 -0.15276038  0.52799723]
Sun Aug 25 00:51:20 2024,161,0.15956916326141019,[-1.42788361  2.36300157 -2.15666428 -0.15198081  0.52721766]
Sun Aug 25 00:52:17 2024,162,0.15997563130811865,[-1.42778538  2.3630998  -2.15676251 -0.15188259  0.52711943]
Sun Aug 25 00:53:13 2024,163,0.16076114233087888,[-1.42734358  2.3635416  -2.15720431 -0.15144079  0.52756123]
Sun Aug 25 00:54:10 2024,164,0.1655021754957996,[-1.42730917  2.36350719 -2.1571699  -0.15140637  0.52759565]
Sun Aug 25 00:55:07 2024,165,0.16475726851829842,[-1.4272147   2.36341273 -2.15726436 -0.15150083  0.52769011]
Sun Aug 25 00:56:04 2024,166,0.160264620638701,[-1.42658023  2.3640472  -2.15662989 -0.15086636  0.52705564]
Sun Aug 25 00:57:01 2024,167,0.16200723663650754,[-1.42565347  2.36497396 -2.15570312 -0.15179313  0.52612887]
Sun Aug 25 00:57:57 2024,168,0.16152990532624908,[-1.42520178  2.36452227 -2.15615481 -0.15224482  0.52567719]
Sun Aug 25 00:58:54 2024,169,0.1570891779160973,[-1.42519194  2.36451244 -2.15616465 -0.15225466  0.52566735]
Sun Aug 25 00:59:51 2024,170,0.16437255818257715,[-1.42492089  2.36478348 -2.15643569 -0.15198361  0.52593839]
Sun Aug 25 01:00:48 2024,171,0.15986849062105918,[-1.4251189   2.36458547 -2.15623768 -0.15178561  0.52574039]
Sun Aug 25 01:01:45 2024,172,0.15800946151068515,[-1.42479505  2.36426162 -2.15656154 -0.15210946  0.52541653]
Sun Aug 25 01:02:41 2024,173,0.16166375752934234,[-1.42432708  2.36379365 -2.15702951 -0.15164149  0.52494856]
Sun Aug 25 01:03:38 2024,174,0.16278049740460113,[-1.42378692  2.36433381 -2.15756967 -0.15218165  0.5244084 ]
Sun Aug 25 01:04:34 2024,175,0.1605456000420427,[-1.42449392  2.36504081 -2.15827666 -0.15288865  0.5251154 ]
Sun Aug 25 01:05:31 2024,176,0.16059645448445994,[-1.42425278  2.36479967 -2.15803552 -0.15312979  0.52535654]
Sun Aug 25 01:06:27 2024,177,0.16095536080324577,[-1.42375781  2.36529463 -2.15853049 -0.15362476  0.52585151]
Sun Aug 25 01:07:24 2024,178,0.16373199082004142,[-1.42365161  2.36540083 -2.15842429 -0.15373096  0.52595771]
Sun Aug 25 01:08:21 2024,179,0.16274634439237742,[-1.42355886  2.36530808 -2.15833153 -0.15382371  0.52605046]
Sun Aug 25 01:09:18 2024,180,0.16112580835364188,[-1.42269208  2.36617485 -2.15746476 -0.15469049  0.52518369]
Sun Aug 25 01:10:15 2024,181,0.1603506455779056,[-1.42220412  2.3656869  -2.1569768  -0.15420253  0.52469573]
Sun Aug 25 01:11:11 2024,182,0.16104723600816329,[-1.42126857  2.36662245 -2.15791235 -0.15326698  0.52376018]
Sun Aug 25 01:12:08 2024,183,0.16590337362036553,[-1.42085961  2.36703141 -2.15832131 -0.15367595  0.52416915]
Sun Aug 25 01:13:04 2024,184,0.1612531722650991,[-1.42049696  2.36739406 -2.15795867 -0.1533133   0.5238065 ]
Sun Aug 25 01:14:01 2024,185,0.16449598708809887,[-1.42074251  2.36763961 -2.15820422 -0.15355885  0.52405205]
Sun Aug 25 01:14:57 2024,186,0.15814506249870505,[-1.42028388  2.36809825 -2.15866286 -0.15310022  0.52359342]
Sun Aug 25 01:15:54 2024,187,0.16552818907211928,[-1.41971922  2.36866291 -2.15922752 -0.15366488  0.52302876]
Sun Aug 25 01:16:50 2024,188,0.15917153227199884,[-1.4192341   2.36914803 -2.15971264 -0.15415     0.52254364]
Sun Aug 25 01:17:46 2024,189,0.15991176469710347,[-1.41828111  2.37010101 -2.16066562 -0.15319701  0.52159065]
Sun Aug 25 01:18:42 2024,190,0.15916161387216343,[-1.41789202  2.3704901  -2.16027654 -0.15280793  0.52120156]
Sun Aug 25 01:19:39 2024,191,0.15859091800708994,[-1.41754555  2.37083657 -2.15993006 -0.15246145  0.52085509]
Sun Aug 25 01:20:35 2024,192,0.1628765924941236,[-1.41807489  2.37030724 -2.15940073 -0.15193211  0.52032575]
Sun Aug 25 01:21:32 2024,193,0.16370549741548807,[-1.41780928  2.37057284 -2.15913512 -0.15219772  0.52059136]
Sun Aug 25 01:22:28 2024,194,0.16249024262130993,[-1.41758042  2.3708017  -2.15890626 -0.15196886  0.52082022]
Sun Aug 25 01:23:25 2024,195,0.16019614706345928,[-1.41713375  2.37035503 -2.15935293 -0.15152219  0.52126689]
Sun Aug 25 01:24:21 2024,196,0.16045579480388614,[-1.41689751  2.37059127 -2.15911669 -0.15175842  0.52150312]
Sun Aug 25 01:25:18 2024,197,0.15888008802513043,[-1.41644299  2.37104579 -2.15866217 -0.1513039   0.5210486 ]
Sun Aug 25 01:26:15 2024,198,0.16371727075941817,[-1.41589197  2.37049477 -2.15811115 -0.15075288  0.52049758]
Sun Aug 25 01:27:12 2024,199,0.15754324992624852,[-1.41631483  2.37007191 -2.15853401 -0.15117574  0.52007472]
Sun Aug 25 01:28:09 2024,200,0.15662423751038698,[-1.41640801  2.36997873 -2.15844083 -0.15126892  0.52016791]
Sun Aug 25 01:29:06 2024,201,0.16157029337177617,[-1.4155253   2.37086144 -2.15932354 -0.15215164  0.51928519]
Sun Aug 25 01:30:02 2024,202,0.16374705809172446,[-1.41511273  2.37044887 -2.15891097 -0.15173906  0.51969776]
Sun Aug 25 01:30:58 2024,203,0.16481984932537963,[-1.41531047  2.37025112 -2.15871322 -0.15193681  0.51989551]
Sun Aug 25 01:31:55 2024,204,0.16026376755105273,[-1.41552588  2.37046653 -2.15849782 -0.15215222  0.5196801 ]
Sun Aug 25 01:32:52 2024,205,0.16016984127208989,[-1.4160121   2.36998031 -2.15898404 -0.151666    0.52016632]
Sun Aug 25 01:33:48 2024,206,0.1601332182187866,[-1.41625982  2.36973259 -2.15923176 -0.15191372  0.5199186 ]
Sun Aug 25 01:34:45 2024,207,0.15632516228996526,[-1.41621386  2.36968663 -2.15918579 -0.15186775  0.51996457]
Sun Aug 25 01:35:41 2024,208,0.1611103091370266,[-1.4159713   2.36944407 -2.15942835 -0.15162519  0.52020713]
Sun Aug 25 01:36:38 2024,209,0.16220314219393073,[-1.41605223  2.36936313 -2.15934741 -0.15170613  0.52012619]
Sun Aug 25 01:37:34 2024,210,0.1611237291222218,[-1.41567081  2.36974455 -2.15972884 -0.15208756  0.51974476]
Sun Aug 25 01:38:31 2024,211,0.1621602263972529,[-1.41535508  2.36942883 -2.15941311 -0.15177183  0.51942904]
Sun Aug 25 01:39:28 2024,212,0.15992363649031793,[-1.41515396  2.3692277  -2.15961423 -0.15157071  0.51922791]
Sun Aug 25 01:40:24 2024,213,0.16007494339455203,[-1.41463165  2.3687054  -2.15909193 -0.1510484   0.51975022]
Sun Aug 25 01:41:20 2024,214,0.16223542794909337,[-1.414854    2.36848305 -2.15886958 -0.15127075  0.51952787]
Sun Aug 25 01:42:16 2024,215,0.15927891647591214,[-1.41448576  2.36811482 -2.15923782 -0.15163899  0.51989611]
Sun Aug 25 01:43:13 2024,216,0.15937661770326772,[-1.41419768  2.36782674 -2.15894975 -0.15135091  0.51960804]
